task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
B,0,0,matched_marginal_shuffle,random,3,0.0010469652735477276,0.01675144133068399,6.453104667108788e-13,3.750303266957118e-13
B,0,0,matched_marginal_shuffle,regularized_d_optimal,3,0.002008821535291357,0.01675144133068399,4.053115698237397e-11,2.133813392789904e-11
B,0,0,surface_restricted_queries,augmented_qbc,3,1.1207210885928423,1.7974902995392787,1.075603141196413,2.4652935895991704e-13
B,0,0,surface_restricted_queries,diversified_qbc,3,1.4523298225351287,1.7974902995392787,1.4293191240681853,2.631041171207039e-13
B,0,0,surface_restricted_queries,qbc,3,1.1207210885928423,1.7974902995392787,1.075603141196413,2.4652935895991704e-13
B,0,0,surface_restricted_queries,random,3,1.4561935910811166,1.7974902995392787,1.4293191240683765,1.1023295153348345e-14
B,0,0,surface_restricted_queries,regularized_d_optimal,3,1.5708958317238018,1.7974902995392787,1.4349391510439624,2.4209513257801095e-14
B,0,0.01,constrained,augmented_qbc,3,0.09386715524302908,1.4491679696836057,0.0015112341827679605,0.000966458738608905
B,0,0.01,constrained,diversified_qbc,3,0.09473662304694845,1.4491679696836057,0.0026153010657986656,0.001969856430478077
B,0,0.01,constrained,qbc,3,0.09383644420385369,1.4491679696836057,0.0012966348026911755,0.0007744534544700639
B,0,0.01,constrained,random,3,0.09833666168762452,1.4491679696836057,0.0060834760692657745,0.0017326788972691963
B,0,0.01,constrained,regularized_d_optimal,3,0.0946775198395075,1.4491679696836057,0.0014660858733099274,0.0010239992641626005
B,0,0.01,independent_inputs,augmented_qbc,3,0.0025827974650026717,0.0011029980999247124,0.001542656229813101,0.0015140040814733207
B,0,0.01,independent_inputs,diversified_qbc,3,0.002566441880176553,0.0011029980999247124,0.0018119280004067612,0.0018247744997580407
B,0,0.01,independent_inputs,qbc,3,0.0025827974650026717,0.0011029980999247124,0.001542656229813101,0.0015140040814733207
B,0,0.01,independent_inputs,random,3,0.002880704209922211,0.0011029980999247124,0.0023461795284598747,0.002324129807203389
B,0,0.01,independent_inputs,regularized_d_optimal,3,0.001960618474206381,0.0011029980999247124,0.0014275513564106885,0.0014571799235327798
B,0,0.01,matched_marginal_shuffle,augmented_qbc,3,0.0030998418404166663,0.002469519371542213,0.003533648057542112,0.001851906160329227
B,0,0.01,matched_marginal_shuffle,diversified_qbc,3,0.004345102435865448,0.002469519371542213,0.003347268463283096,0.00202327792592795
B,0,0.01,matched_marginal_shuffle,qbc,3,0.0030998418404166663,0.002469519371542213,0.003533648057542112,0.001851906160329227
B,0,0.01,matched_marginal_shuffle,random,3,0.0061187983444289315,0.002469519371542213,0.00362360525860903,0.0023536448193856945
B,0,0.01,matched_marginal_shuffle,regularized_d_optimal,3,0.004676599203363504,0.002469519371542213,0.004155260929862186,0.0023040372374603184
B,0,0.01,surface_restricted_queries,augmented_qbc,3,2.0273009544665395,1.0543810544674204,1.0562419696777816,0.0023698357531143363
B,0,0.01,surface_restricted_queries,diversified_qbc,3,1.0742619930043964,1.0543810544674204,1.061571110314383,0.0022703998999958493
B,0,0.01,surface_restricted_queries,qbc,3,2.0273009544665395,1.0543810544674204,1.0562419696777816,0.0023698357531143363
B,0,0.01,surface_restricted_queries,random,3,1.4224900392453081,1.0543810544674204,1.5710414194463749,0.0030778952461523713
B,0,0.01,surface_restricted_queries,regularized_d_optimal,3,1.2011255428189218,1.0543810544674204,1.3750114234295587,0.004522425795321502
B,0.01,0,constrained,augmented_qbc,3,0.04578163287025013,0.7074194234060189,5.5366987081285343e-11,3.333192304745783e-11
B,0.01,0,constrained,diversified_qbc,3,0.04803650289609493,0.7074194234060189,3.1479504238605874e-13,2.2453445983098799e-13
B,0.01,0,constrained,qbc,3,0.04578163287025013,0.7074194234060189,5.5366987081285343e-11,3.333192304745783e-11
B,0.01,0,constrained,random,3,0.04613531880781784,0.7074194234060189,9.0278240858283e-11,5.2907470083495535e-11
B,0.01,0,constrained,regularized_d_optimal,3,0.10312276175941294,0.7074194234060189,7.556970477239256e-13,5.549419586561548e-13
B,0.01,0.01,constrained,augmented_qbc,3,0.07407516344042585,1.0759098822687478,0.004773383550960576,0.0029528990742387143
B,0.01,0.01,constrained,diversified_qbc,3,0.0741151244471346,1.0759098822687478,0.003063120367814556,0.0015293343973471387
B,0.01,0.01,constrained,qbc,3,0.07407516344042585,1.0759098822687478,0.004773383550960576,0.0029528990742387143
B,0.01,0.01,constrained,random,3,0.18567639066497219,1.0759098822687478,0.006856543427538136,0.0028201173127125703
B,0.01,0.01,constrained,regularized_d_optimal,3,0.07335154748604156,1.0759098822687478,0.00242511188541231,0.001263818356819891
B,0.05,0,constrained,augmented_qbc,3,0.02426946408314175,0.35832099495521613,3.000236922750247e-14,1.8040355914706703e-14
B,0.05,0,constrained,diversified_qbc,3,0.024268297171822977,0.35832099495521613,3.5159842591381236e-14,2.4053885744814573e-14
B,0.05,0,constrained,qbc,3,0.02426946408314175,0.35832099495521613,3.000236922750247e-14,1.8040355914706703e-14
B,0.05,0,constrained,random,3,0.02328715190486534,0.35832099495521613,1.947200563463593e-13,1.191937326807894e-13
B,0.05,0,constrained,regularized_d_optimal,3,0.02239556375154179,0.35832099495521613,6.4107063339186495e-15,4.7812608237013596e-15
B,0.05,0.01,constrained,augmented_qbc,3,0.004885788088533393,0.022311465209449696,0.0025464045975478367,0.0014146806407457915
B,0.05,0.01,constrained,diversified_qbc,3,0.009053086242415227,0.022311465209449696,0.0017848560907456526,0.0011490154207235408
B,0.05,0.01,constrained,qbc,3,0.007846518193397505,0.022311465209449696,0.00166754330709529,0.0010231396002627325
B,0.05,0.01,constrained,random,3,0.007366109314490925,0.022311465209449696,0.004046398121413807,0.0009041646392708548
B,0.05,0.01,constrained,regularized_d_optimal,3,0.0067690369330191584,0.022311465209449696,0.00738441140236024,0.0027161152278213432
