task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
D,0.01,0.01,constrained,qbc,5,0.012457940443520407,0.0008277474247724833,0.001842142784138852,0.0013884899577414115
D,0.01,0.01,constrained,random,5,0.015516919200713375,0.0008277474247724833,0.00505409645467893,0.0024928358830826466
D,0.01,0.01,constrained,regularized_d_optimal,5,0.0036781205232179976,0.0008277474247724833,0.003248323966071743,0.0021192837941389946
E,0,0.01,constrained,augmented_qbc,5,0.11859568075497626,1.3702962829425243,0.003241180207777893,0.002215699039289765
E,0,0.01,constrained,diversified_qbc,5,0.12630338118487874,1.3702962829425243,0.003209311517081708,0.0023320609277862397
E,0,0.01,constrained,qbc,5,0.11877683923396831,1.3702962829425243,0.0033089262631607317,0.0024340589566970296
E,0,0.01,constrained,random,5,0.1304407778050913,1.3702962829425243,0.002397658679953886,0.0012517938568760245
E,0,0.01,constrained,regularized_d_optimal,5,0.14090354845222008,1.3702962829425243,0.003147931983602058,0.0024727997681729687
E,0,0.01,independent_inputs,augmented_qbc,5,0.011308398092392608,0.019326337118186897,0.0024201960806055664,0.002415836877746811
E,0,0.01,independent_inputs,diversified_qbc,5,0.005942461583727225,0.019326337118186897,0.002036823851449956,0.0020509632174222185
E,0,0.01,independent_inputs,qbc,5,0.011308398092392608,0.019326337118186897,0.0024201960806055664,0.002415836877746811
E,0,0.01,independent_inputs,random,5,0.007129662688393617,0.019326337118186897,0.004714878470136343,0.004759524083789008
E,0,0.01,independent_inputs,regularized_d_optimal,5,0.007609380794900042,0.019326337118186897,0.0025787385883069484,0.002621596039322119
E,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.010650617088173319,0.06638103777805221,0.002647351844515631,0.0025653652633614533
E,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.007059594085514552,0.06638103777805221,0.0019952317019257563,0.0018927066535371166
E,0,0.01,matched_marginal_shuffle,qbc,5,0.010650617088173319,0.06638103777805221,0.002647351844515631,0.0025653652633614533
E,0,0.01,matched_marginal_shuffle,random,5,0.01614305163583843,0.06638103777805221,0.003329781401914679,0.00310590214565378
E,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.010242401562903986,0.06638103777805221,0.0022223412985004345,0.0021611655736369275
E,0,0.01,surface_restricted_queries,augmented_qbc,5,1.0867179016756663,1.0277887784320572,0.9516053762040594,0.0015809204628354913
E,0,0.01,surface_restricted_queries,diversified_qbc,5,1.0044296871075478,1.0277887784320572,0.5480474424385203,0.002145239077956192
E,0,0.01,surface_restricted_queries,qbc,5,1.3038846312721843,1.0277887784320572,1.8202722945901315,0.0020560074148975828
